age,years_employed,gender,department,approved
59,10,Female,Retail,0
26,15,Female,Technology,0
28,14,Female,Healthcare,0
55,9,Female,Technology,0
52,27,Male,Technology,0
27,10,Male,Healthcare,1
61,20,Male,Healthcare,0
51,16,Female,Healthcare,0
29,27,Female,Healthcare,0
50,28,Male,Retail,1
47,13,Female,Healthcare,0
31,21,Male,Technology,1
